N,P,K,temperature,humidity,ph,rainfall,label
84,55,42,20.8542,83.5086,6.8043,215.8518,rice
92,52,38,23.2051,80.6858,6.5317,186.785,rice
82,54,36,25.5878,84.1196,5.9555,248.1655,rice
87,52,43,25.4838,84.4579,6.2608,227.6281,rice
72,36,42,25.8763,81.3985,5.5414,230.9298,rice
68,43,37,21.4423,80.6156,5.5628,185.5462,rice
77,37,39,21.4031,81.0169,5.8945,232.8635,rice
73,56,41,21.461,81.5433,6.5825,221.1387,rice
91,52,36,22.2459,81.9866,6.3464,240.5566,rice
88,59,42,26.4961,82.1955,6.0236,231.9472,rice
73,36,42,23.3369,84.8832,6.0211,190.1932,rice
100,58,42,25.1102,80.4684,6.7734,249.4776,rice
82,47,37,22.2974,84.7579,6.8573,225.7104,rice
76,41,43,21.0607,81.0773,6.4125,198.0879,rice
86,39,45,22.8126,80.2327,6.0798,189.6495,rice
71,44,42,21.8668,83.0522,6.2747,200.2372,rice
86,59,44,24.8931,84.1437,6.7687,221.177,rice
83,36,35,26.3974,84.6703,6.609,235.001,rice
86,42,42,26.766,82.7966,5.9405,180.2088,rice
67,47,43,26.2936,84.4722,6.3637,234.5602,rice
80,44,39,24.4653,80.2509,5.8224,189.0839,rice
71,46,43,20.9024,80.9869,6.0665,244.0032,rice
86,38,43,25.9953,81.0632,5.5653,218.4114,rice
92,48,42,22.4795,81.3597,6.492,192.1366,rice
82,55,42,25.2833,82.0509,5.9958,230.3108,rice
75,56,41,25.1288,83.8048,5.63,196.1192,rice
74,39,43,21.1589,82.9081,5.6772,211.2275,rice
82,56,38,20.7397,82.3884,6.1677,227.1858,rice
60,60,37,20.971,82.9768,6.7016,193.9843,rice
69,44,43,20.6969,81.6816,5.993,182.5855,rice
81,37,40,23.586,82.3498,5.6304,221.0672,rice
78,42,38,21.4965,81.6664,6.0451,182.1646,rice
75,35,38,24.1183,83.0818,5.5494,241.7887,rice
80,54,40,25.5651,82.715,6.8789,236.1784,rice
91,44,39,20.918,80.5333,6.614,206.8068,rice
70,59,38,23.323,81.6845,5.8155,208.9542,rice
61,55,43,21.986,80.8557,6.8784,228.4925,rice
70,42,37,22.9746,84.0,6.4302,215.5315,rice
77,58,35,20.5539,80.9247,6.5168,219.0018,rice
83,40,39,22.0697,82.9097,6.3116,213.2437,rice
61,60,40,24.7867,82.7478,6.4086,185.5203,rice
88,42,42,20.3715,83.7152,6.4112,180.4589,rice
90,38,43,20.4756,83.0663,6.5945,207.1011,rice
75,59,41,21.8559,81.9385,6.5549,196.6179,rice
82,37,40,20.2278,80.6742,5.7121,185.8972,rice
65,37,36,22.3663,83.5271,5.8726,222.3276,rice
89,53,44,22.716,80.5795,6.0936,206.6332,rice
91,53,35,21.5321,81.3766,5.7423,242.0486,rice
98,55,43,26.3616,83.453,5.8546,248.4323,rice
62,48,37,20.4606,84.6597,5.833,224.6742,rice
87,59,44,20.0922,80.4665,6.3866,219.8397,rice
97,55,40,23.049,80.4547,6.85,211.7051,rice
67,35,37,21.7827,84.2544,5.7198,241.8064,rice
67,50,41,20.0727,81.0325,5.7554,210.5974,rice
70,36,37,21.5732,80.751,6.3393,190.9425,rice
80,40,44,21.0181,84.268,6.407,240.9761,rice
81,53,39,21.7153,81.4048,6.9254,202.8864,rice
99,57,45,23.0933,84.3777,6.0265,249.2179,rice
78,52,45,20.9966,81.4996,6.2289,236.3363,rice
94,50,41,21.1463,82.6993,5.6918,195.8642,rice
87,38,35,22.9227,81.9658,6.2115,230.5021,rice
85,54,42,25.438,84.9118,5.8053,243.9601,rice
80,45,41,25.6401,84.4959,6.2267,207.5253,rice
83,43,42,22.1591,82.9601,6.2116,190.6614,rice
74,56,39,23.5144,82.3606,5.5246,221.191,rice
85,45,41,25.8934,83.5914,6.38,182.3626,rice
78,46,41,22.2505,80.2206,6.8219,225.5579,rice
81,37,39,26.3765,81.0962,6.7147,235.1299,rice
77,36,39,24.2697,83.0128,6.1897,244.9645,rice
